Scenario,Variant,ARI,ARI_ci_low,ARI_ci_high,RLE,RLE_ci_low,RLE_ci_high,Waste,Waste_ci_low,Waste_ci_high,SLCA,SLCA_ci_low,SLCA_ci_high,DecisionLatencyMs,DecisionLatencyMs_ci_low,DecisionLatencyMs_ci_high,ConstraintViolationRate,ConstraintViolationRate_ci_low,ConstraintViolationRate_ci_high,DownstreamViolationRate,DownstreamViolationRate_ci_low,DownstreamViolationRate_ci_high,ContainedViolationRate,ContainedViolationRate_ci_low,ContainedViolationRate_ci_high,n_seeds
adaptive_pricing,hybrid_rl,0.6146,0.6080,0.6214,0.6693,0.6323,0.7050,0.0487,0.0448,0.0523,0.6894,0.6843,0.6950,0.1538,0.1512,0.1584,0.2318,0.2224,0.2418,0.3421,0.3004,0.3750,0.0934,0.0742,0.1145,20
adaptive_pricing,no_pinn,0.6332,0.6272,0.6406,0.7034,0.6591,0.7450,0.0374,0.0344,0.0398,0.7020,0.6965,0.7086,0.1553,0.1527,0.1601,0.2255,0.2151,0.2359,0.3228,0.2861,0.3582,0.0814,0.0622,0.1005,20
adaptive_pricing,no_slca,0.5839,0.5788,0.5908,0.5136,0.4735,0.5525,0.0517,0.0482,0.0548,0.6575,0.6525,0.6642,0.1539,0.1514,0.1586,0.2351,0.2243,0.2448,0.5444,0.5011,0.5891,0.0464,0.0334,0.0597,20
adaptive_pricing,agribrain,0.6614,0.6559,0.6680,0.7384,0.6992,0.7733,0.0285,0.0267,0.0302,0.7265,0.7212,0.7324,9.3924,7.5881,12.2606,0.2233,0.2135,0.2351,0.2329,0.2081,0.2621,0.0792,0.0592,0.1015,20
adaptive_pricing,no_context,0.6364,0.6317,0.6419,0.7149,0.6766,0.7527,0.0337,0.0315,0.0360,0.7034,0.6986,0.7090,0.1571,0.1544,0.1618,0.2368,0.2247,0.2500,0.3409,0.2933,0.3739,0.0982,0.0784,0.1208,20
adaptive_pricing,mcp_only,0.6522,0.6467,0.6583,0.7446,0.7039,0.7844,0.0298,0.0278,0.0319,0.7179,0.7123,0.7240,8.5056,5.9991,12.4217,0.2368,0.2247,0.2500,0.2451,0.2070,0.2812,0.0958,0.0758,0.1191,20
adaptive_pricing,pirag_only,0.6509,0.6451,0.6573,0.7312,0.6897,0.7716,0.0309,0.0288,0.0330,0.7170,0.7111,0.7235,3.5654,3.5428,3.6039,0.2368,0.2247,0.2500,0.2778,0.2333,0.3164,0.0968,0.0768,0.1199,20
adaptive_pricing,agribrain_cold_start,0.6653,0.6596,0.6715,0.7306,0.6920,0.7673,0.0276,0.0259,0.0294,0.7298,0.7246,0.7356,22.1225,20.7840,25.5564,0.2233,0.2135,0.2351,0.2211,0.1968,0.2478,0.0785,0.0588,0.1008,20
adaptive_pricing,agribrain_pert_10,0.6598,0.6542,0.6666,0.7306,0.6920,0.7673,0.0289,0.0271,0.0306,0.7250,0.7197,0.7311,14.1789,10.4181,21.6790,0.2233,0.2135,0.2351,0.2406,0.2147,0.2680,0.0792,0.0592,0.1015,20
adaptive_pricing,agribrain_pert_25,0.6599,0.6543,0.6667,0.7306,0.6920,0.7673,0.0289,0.0270,0.0306,0.7251,0.7198,0.7312,12.7308,10.6053,15.6657,0.2233,0.2135,0.2351,0.2406,0.2147,0.2680,0.0792,0.0592,0.1015,20
